latitude,longitude
48.92026,2.21909
48.92026,2.22763
48.92025,2.23618
48.92025,2.24472
48.92025,2.25327
48.92024,2.26182
48.92024,2.27036
48.92023,2.27891
48.92023,2.28745
48.92022,2.29600
48.92021,2.30454
48.92021,2.31309
48.92020,2.32163
48.92019,2.33018
48.92018,2.33872
48.92017,2.34727
48.92016,2.35581
48.92015,2.36436
48.92014,2.37290
48.92012,2.38145
48.92011,2.38999
48.92010,2.39854
48.92008,2.40708
48.92007,2.41563
48.92005,2.42417
48.92004,2.43272
48.91464,2.21909
48.91464,2.22763
48.91464,2.23618
48.91464,2.24472
48.91463,2.25326
48.91463,2.26181
48.91462,2.27035
48.91462,2.27890
48.91461,2.28744
48.91461,2.29598
48.91460,2.30453
48.91459,2.31307
48.91458,2.32162
48.91457,2.33016
48.91457,2.33871
48.91456,2.34725
48.91454,2.35579
48.91453,2.36434
48.91452,2.37288
48.91451,2.38143
48.91450,2.38997
48.91448,2.39851
48.91447,2.40706
48.91445,2.41560
48.91444,2.42415
48.91442,2.43269
48.90903,2.21909
48.90903,2.22763
48.90902,2.23617
48.90902,2.24472
48.90902,2.25326
48.90901,2.26180
48.90901,2.27034
48.90900,2.27889
48.90900,2.28743
48.90899,2.29597
48.90898,2.30452
48.90898,2.31306
48.90897,2.32160
48.90896,2.33015
48.90895,2.33869
48.90894,2.34723
48.90893,2.35578
48.90892,2.36432
48.90891,2.37286
48.90889,2.38141
48.90888,2.38995
48.90887,2.39849
48.90885,2.40704
48.90884,2.41558
48.90882,2.42412
48.90881,2.43267
48.90341,2.21908
48.90341,2.22763
48.90341,2.23617
48.90341,2.24471
48.90340,2.25325
48.90340,2.26180
48.90339,2.27034
48.90339,2.27888
48.90338,2.28742
48.90338,2.29596
48.90337,2.30451
48.90336,2.31305
48.90335,2.32159
48.90334,2.33013
48.90334,2.33868
48.90332,2.34722
48.90331,2.35576
48.90330,2.36430
48.90329,2.37284
48.90328,2.38139
48.90327,2.38993
48.90325,2.39847
48.90324,2.40701
48.90322,2.41556
48.90321,2.42410
48.90319,2.43264
48.89780,2.21908
48.89780,2.22762
48.89779,2.23616
48.89779,2.24471
48.89779,2.25325
48.89778,2.26179
48.89778,2.27033
48.89777,2.27887
48.89777,2.28741
48.89776,2.29595
48.89775,2.30450
48.89775,2.31304
48.89774,2.32158
48.89773,2.33012
48.89772,2.33866
48.89771,2.34720
48.89770,2.35574
48.89769,2.36428
48.89768,2.37283
48.89766,2.38137
48.89765,2.38991
48.89764,2.39845
48.89762,2.40699
48.89761,2.41553
48.89759,2.42407
48.89758,2.43262
48.89218,2.21908
48.89218,2.22762
48.89218,2.23616
48.89218,2.24470
48.89217,2.25324
48.89217,2.26178
48.89216,2.27032
48.89216,2.27886
48.89215,2.28740
48.89215,2.29594
48.89214,2.30448
48.89213,2.31302
48.89212,2.32156
48.89211,2.33011
48.89210,2.33865
48.89209,2.34719
48.89208,2.35573
48.89207,2.36427
48.89206,2.37281
48.89205,2.38135
48.89203,2.38989
48.89202,2.39843
48.89201,2.40697
48.89199,2.41551
48.89198,2.42405
48.89196,2.43259
48.88657,2.21908
48.88657,2.22762
48.88656,2.23616
48.88656,2.24470
48.88656,2.25324
48.88655,2.26178
48.88655,2.27031
48.88654,2.27885
48.88654,2.28739
48.88653,2.29593
48.88652,2.30447
48.88652,2.31301
48.88651,2.32155
48.88650,2.33009
48.88649,2.33863
48.88648,2.34717
48.88647,2.35571
48.88646,2.36425
48.88645,2.37279
48.88643,2.38133
48.88642,2.38987
48.88641,2.39841
48.88639,2.40695
48.88638,2.41549
48.88636,2.42403
48.88634,2.43257
48.88095,2.21908
48.88095,2.22761
48.88095,2.23615
48.88095,2.24469
48.88094,2.25323
48.88094,2.26177
48.88093,2.27031
48.88093,2.27885
48.88092,2.28738
48.88092,2.29592
48.88091,2.30446
48.88090,2.31300
48.88089,2.32154
48.88088,2.33008
48.88087,2.33862
48.88086,2.34715
48.88085,2.35569
48.88084,2.36423
48.88083,2.37277
48.88082,2.38131
48.88080,2.38985
48.88079,2.39839
48.88078,2.40692
48.88076,2.41546
48.88075,2.42400
