TEBZ_1,TEBZ_2,TEBZ_3,TEBZ_4,TEBZ_5,TEB_Z_6,ZS,THT_1,THT_2,THT_3,THT_4,THT_5,THT_6,THT_7,THT_8,THT_9,THT_10,THT_11,THT_12,THT_13,THT_14,THT_15,THT_16,THT_17,THT_18,THT_19,THT_20,THT_21,THT_22,THT_23,THT_24,THT_25,THT_26,THT_27,THT_28,THT_29,THT_30,THT_31,THT_32,TEB_1,TEB_2,TEB_3,TEB_4,TEB_5,TEB_6,latitude,longitude
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,36.09229,296.20454,296.20454,296.71635,299.46662,302.67857,304.96092,305.67505,306.39252,306.77759,306.99917,307.23502,308.43931,309.11755,309.51839,310.22242,312.07417,315.66157,319.70489,322.88344,325.05618,327.09491,328.60462,330.28924,332.03147,333.71919,335.41375,337.55464,341.17898,348.26096,359.18379,371.18699,371.18699,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92026,2.22336
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,36.69477,296.19116,296.19116,296.72659,299.50618,302.67009,304.94931,305.70313,306.40244,306.77492,306.99191,307.23071,308.43242,309.11120,309.51796,310.22390,312.07480,315.66067,319.70636,322.89099,325.05886,327.08888,328.60878,330.28975,332.04179,333.71359,335.40748,337.55030,341.17843,348.24606,359.18884,371.19822,371.19822,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92026,2.23191
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,37.06687,296.17880,296.17880,296.73677,299.54575,302.66162,304.93770,305.73121,306.41237,306.77226,306.98465,307.23681,308.43349,309.10702,309.51639,310.22546,312.07853,315.66766,319.72117,322.88421,325.06340,327.09009,328.61291,330.29025,332.05211,333.70800,335.40121,337.54596,341.17788,348.23136,359.19347,371.20937,371.20937,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92025,2.24045
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,36.83815,296.17859,296.17859,296.72378,299.55961,302.52401,304.88029,305.76282,306.43950,306.77978,306.97191,307.24023,308.42772,309.09892,309.51484,310.22913,312.08629,315.68639,319.73330,322.86590,325.07796,327.08733,328.60952,330.30203,332.05296,333.71036,335.40466,337.53185,341.17335,348.22085,359.19339,371.21749,371.21749,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92025,2.24900
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,36.07206,296.19796,296.19796,296.64121,299.48988,302.45240,304.80372,305.76249,306.48012,306.78360,306.95910,307.23910,308.42319,309.09300,309.51467,310.23334,312.09242,315.69542,319.72695,322.86802,325.08392,327.08262,328.58990,330.33440,332.04716,333.69121,335.41011,337.52290,341.18721,348.23291,359.16742,371.21867,371.21867,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92025,2.25754
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,35.05444,296.20463,296.20463,296.50565,299.51401,302.46854,304.80889,305.79237,306.51038,306.78735,306.95429,307.21916,308.41714,309.08282,309.51473,310.23819,312.09211,315.69232,319.72730,322.86371,325.09238,327.06754,328.59573,330.35774,332.04827,333.66729,335.35371,337.49844,341.20388,348.26480,359.13447,371.21624,371.21624,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92024,2.26609
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,34.06423,296.19559,296.19559,296.43789,299.37913,302.44540,304.80766,305.79909,306.56386,306.78965,306.96903,307.19308,308.41453,309.07698,309.51350,310.23878,312.09111,315.68863,319.72266,322.85649,325.10655,327.04305,328.60230,330.36500,332.07647,333.67057,335.33232,337.44149,341.18994,348.27619,359.12890,371.21414,371.21414,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92024,2.27463
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,33.28417,296.16649,296.16649,296.31844,299.40233,302.46871,304.75512,305.75996,306.57509,306.78854,307.01499,307.16892,308.41475,309.06818,309.51253,310.23426,312.08580,315.68248,319.72137,322.85272,325.11444,327.03614,328.60583,330.34557,332.11100,333.69436,335.33064,337.42738,341.15830,348.25354,359.14195,371.21773,371.21773,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92023,2.28318
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,32.42430,296.14376,296.14376,296.31528,299.53195,302.54699,304.73636,305.72010,306.57602,306.78933,307.02610,307.15510,308.40792,309.06110,309.51018,310.23567,312.08554,315.68429,319.72565,322.84979,325.11759,327.03880,328.60889,330.31160,332.13208,333.70696,335.34946,337.44224,341.14647,348.23349,359.14583,371.22775,371.22775,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92023,2.29172
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,31.68849,296.10176,296.10176,296.29234,299.49410,302.52391,304.66549,305.69829,306.57598,306.79329,307.02426,307.16087,308.41138,309.04784,309.50983,310.24207,312.08478,315.68744,319.73347,322.83903,325.13032,327.04286,328.61425,330.28637,332.13573,333.69455,335.35901,337.45220,341.13350,348.22551,359.14342,371.22972,371.22972,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92022,2.30027
