latitude,longitude
48.91745,2.22336
48.91745,2.23191
48.91745,2.24045
48.91744,2.24899
48.91744,2.25754
48.91743,2.26608
48.91743,2.27463
48.91742,2.28317
48.91742,2.29172
48.91741,2.30026
48.91740,2.30881
48.91740,2.31735
48.91739,2.32590
48.91738,2.33444
48.91737,2.34299
48.91736,2.35153
48.91735,2.36007
48.91733,2.36862
48.91732,2.37716
48.91731,2.38571
48.91730,2.39425
48.91728,2.40280
48.91727,2.41134
48.91725,2.41989
48.91724,2.42843
48.91722,2.43698
48.91184,2.22336
48.91183,2.23190
48.91183,2.24045
48.91183,2.24899
48.91182,2.25753
48.91182,2.26608
48.91181,2.27462
48.91181,2.28316
48.91180,2.29171
48.91180,2.30025
48.91179,2.30880
48.91178,2.31734
48.91177,2.32588
48.91176,2.33443
48.91175,2.34297
48.91174,2.35151
48.91173,2.36006
48.91172,2.36860
48.91171,2.37714
48.91169,2.38569
48.91168,2.39423
48.91167,2.40278
48.91165,2.41132
48.91164,2.41986
48.91162,2.42841
48.91160,2.43695
48.90622,2.22336
48.90622,2.23190
48.90622,2.24044
48.90621,2.24898
48.90621,2.25753
48.90620,2.26607
48.90620,2.27461
48.90619,2.28316
48.90619,2.29170
48.90618,2.30024
48.90617,2.30878
48.90617,2.31733
48.90616,2.32587
48.90615,2.33441
48.90614,2.34295
48.90613,2.35150
48.90612,2.36004
48.90610,2.36858
48.90609,2.37713
48.90608,2.38567
48.90607,2.39421
48.90605,2.40275
48.90604,2.41130
48.90602,2.41984
48.90601,2.42838
48.90599,2.43692
48.90061,2.22335
48.90060,2.23190
48.90060,2.24044
48.90060,2.24898
48.90059,2.25752
48.90059,2.26606
48.90058,2.27460
48.90058,2.28315
48.90057,2.29169
48.90057,2.30023
48.90056,2.30877
48.90055,2.31731
48.90054,2.32586
48.90053,2.33440
48.90052,2.34294
48.90051,2.35148
48.90050,2.36002
48.90049,2.36856
48.90048,2.37711
48.90046,2.38565
48.90045,2.39419
48.90044,2.40273
48.90042,2.41127
48.90041,2.41982
48.90039,2.42836
48.90037,2.43690
48.89499,2.22335
48.89499,2.23189
48.89499,2.24043
48.89498,2.24897
48.89498,2.25751
